sample_id,model,axis,level,score_standard,score_anchor_A,score_anchor_B,delta_A_minus_std,delta_B_minus_std
567,gemini-3-flash,coherence,0.8,4.0,4.0,4.0,0.0,0.0
567,gpt-5-mini,coherence,0.8,8.0,9.0,9.0,1.0,1.0
582,gemini-3-flash,information,0.8,3.0,3.0,4.0,0.0,1.0
582,gpt-5-mini,information,0.8,4.0,3.0,3.0,-1.0,-1.0
586,gemini-3-flash,lexical,0.0,8.0,9.0,9.0,1.0,1.0
586,gpt-5-mini,lexical,0.0,9.0,9.0,9.0,0.0,0.0
620,gemini-3-flash,coherence,0.2,8.0,7.0,8.0,-1.0,0.0
620,gpt-5-mini,coherence,0.2,9.0,9.0,9.0,0.0,0.0
623,gemini-3-flash,coherence,0.4,4.0,4.0,4.0,0.0,0.0
623,gpt-5-mini,coherence,0.4,9.0,8.0,9.0,-1.0,0.0
624,gemini-3-flash,coherence,0.6,4.0,4.0,4.0,0.0,0.0
624,gpt-5-mini,coherence,0.6,8.0,8.0,8.0,0.0,0.0
647,gemini-3-flash,lexical,0.0,9.0,9.0,9.0,0.0,0.0
647,gpt-5-mini,lexical,0.0,9.0,9.0,9.0,0.0,0.0
668,gemini-3-flash,grammar,0.4,6.0,5.0,5.0,-1.0,-1.0
668,gpt-5-mini,grammar,0.4,5.0,4.0,3.0,-1.0,-2.0
676,gemini-3-flash,coherence,0.0,9.0,9.0,9.0,0.0,0.0
676,gpt-5-mini,coherence,0.0,9.0,9.0,9.0,0.0,0.0
700,gemini-3-flash,information,0.6,4.0,4.0,5.0,0.0,1.0
700,gpt-5-mini,information,0.6,6.0,5.0,5.0,-1.0,-1.0
736,gemini-3-flash,coherence,0.0,9.0,9.0,9.0,0.0,0.0
736,gpt-5-mini,coherence,0.0,9.0,9.0,9.0,0.0,0.0
747,gemini-3-flash,coherence,0.8,4.0,4.0,5.0,0.0,1.0
747,gpt-5-mini,coherence,0.8,9.0,8.0,9.0,-1.0,0.0
763,gemini-3-flash,information,0.8,4.0,4.0,4.0,0.0,0.0
763,gpt-5-mini,information,0.8,4.0,3.0,3.0,-1.0,-1.0
764,gemini-3-flash,information,0.8,4.0,4.0,4.0,0.0,0.0
764,gpt-5-mini,information,0.8,3.0,3.0,3.0,0.0,0.0
766,gemini-3-flash,lexical,0.0,9.0,9.0,9.0,0.0,0.0
766,gpt-5-mini,lexical,0.0,9.0,9.0,9.0,0.0,0.0
940,gemini-3-flash,information,0.6,4.0,4.0,4.0,0.0,0.0
940,gpt-5-mini,information,0.6,4.0,4.0,4.0,0.0,0.0
1022,gemini-3-flash,grammar,0.0,9.0,9.0,9.0,0.0,0.0
1022,gpt-5-mini,grammar,0.0,9.0,9.0,9.0,0.0,0.0
1044,gpt-5-mini,coherence,0.6,9.0,8.0,8.0,-1.0,-1.0
1057,gemini-3-flash,information,0.4,4.0,4.0,4.0,0.0,0.0
1057,gpt-5-mini,information,0.4,5.0,4.0,4.0,-1.0,-1.0
1076,gemini-3-flash,lexical,0.6,4.0,4.0,4.0,0.0,0.0
1076,gpt-5-mini,lexical,0.6,4.0,4.0,4.0,0.0,0.0
1087,gemini-3-flash,grammar,0.4,4.0,4.0,4.0,0.0,0.0
1087,gpt-5-mini,grammar,0.4,3.0,3.0,3.0,0.0,0.0
1090,gemini-3-flash,grammar,0.6,2.0,2.0,3.0,0.0,1.0
1090,gpt-5-mini,grammar,0.6,2.0,2.0,2.0,0.0,0.0
1142,gemini-3-flash,grammar,0.0,9.0,9.0,9.0,0.0,0.0
1142,gpt-5-mini,grammar,0.0,9.0,9.0,9.0,0.0,0.0
1153,gemini-3-flash,grammar,0.8,3.0,3.0,3.0,0.0,0.0
1153,gpt-5-mini,grammar,0.8,2.0,2.0,2.0,0.0,0.0
1162,gemini-3-flash,coherence,0.4,6.0,6.0,5.0,0.0,-1.0
1162,gpt-5-mini,coherence,0.4,9.0,8.0,9.0,-1.0,0.0
1180,gemini-3-flash,information,0.6,4.0,4.0,4.0,0.0,0.0
1180,gpt-5-mini,information,0.6,6.0,5.0,5.0,-1.0,-1.0
1210,gemini-3-flash,grammar,0.6,3.0,4.0,4.0,1.0,1.0
1210,gpt-5-mini,grammar,0.6,3.0,2.0,2.0,-1.0,-1.0
1372,gemini-3-flash,lexical,0.4,6.0,6.0,7.0,0.0,1.0
1372,gpt-5-mini,lexical,0.4,8.0,7.0,7.0,-1.0,-1.0
1527,gemini-3-flash,coherence,0.8,3.0,4.0,3.0,1.0,0.0
1527,gpt-5-mini,coherence,0.8,8.0,8.0,8.0,0.0,0.0
1569,gemini-3-flash,grammar,0.6,3.0,4.0,4.0,1.0,1.0
1569,gpt-5-mini,grammar,0.6,3.0,2.0,2.0,-1.0,-1.0
1570,gemini-3-flash,grammar,0.6,4.0,4.0,4.0,0.0,0.0
1570,gpt-5-mini,grammar,0.6,3.0,3.0,3.0,0.0,0.0
1595,gemini-3-flash,information,0.2,8.0,8.0,7.0,0.0,-1.0
1595,gpt-5-mini,information,0.2,8.0,8.0,8.0,0.0,0.0
1617,gemini-3-flash,lexical,0.8,5.0,6.0,6.0,1.0,1.0
1617,gpt-5-mini,lexical,0.8,7.0,6.0,6.0,-1.0,-1.0
1642,gemini-3-flash,coherence,0.4,6.0,6.0,6.0,0.0,0.0
1642,gpt-5-mini,coherence,0.4,9.0,8.0,9.0,-1.0,0.0
1649,gemini-3-flash,coherence,0.8,3.0,4.0,4.0,1.0,1.0
1649,gpt-5-mini,coherence,0.8,8.0,8.0,8.0,0.0,0.0
1699,gemini-3-flash,coherence,0.2,9.0,9.0,9.0,0.0,0.0
1699,gpt-5-mini,coherence,0.2,9.0,9.0,9.0,0.0,0.0
1720,gemini-3-flash,information,0.6,4.0,4.0,4.0,0.0,0.0
1720,gpt-5-mini,information,0.6,6.0,5.0,4.0,-1.0,-2.0
1721,gemini-3-flash,information,0.6,4.0,4.0,4.0,0.0,0.0
1721,gpt-5-mini,information,0.6,5.0,4.0,3.0,-1.0,-2.0
1730,gemini-3-flash,lexical,0.2,8.0,8.0,8.0,0.0,0.0
1730,gpt-5-mini,lexical,0.2,8.0,8.0,8.0,0.0,0.0
1747,gemini-3-flash,grammar,0.4,4.0,4.0,4.0,0.0,0.0
1747,gpt-5-mini,grammar,0.4,3.0,3.0,3.0,0.0,0.0
1780,gemini-3-flash,information,0.6,4.0,4.0,4.0,0.0,0.0
1780,gpt-5-mini,information,0.6,5.0,4.0,4.0,-1.0,-1.0
1844,gemini-3-flash,information,0.8,3.0,3.0,3.0,0.0,0.0
1844,gpt-5-mini,information,0.8,3.0,3.0,3.0,0.0,0.0
1877,gemini-3-flash,coherence,0.0,8.0,9.0,9.0,1.0,1.0
1877,gpt-5-mini,coherence,0.0,8.0,9.0,9.0,1.0,1.0
1922,gemini-3-flash,grammar,0.0,3.0,8.0,9.0,5.0,6.0
1922,gpt-5-mini,grammar,0.0,7.0,8.0,8.0,1.0,1.0
1928,gemini-3-flash,grammar,0.4,3.0,4.0,4.0,1.0,1.0
1928,gpt-5-mini,grammar,0.4,3.0,3.0,3.0,0.0,0.0
1962,gemini-3-flash,information,0.8,2.0,2.0,2.0,0.0,0.0
1962,gpt-5-mini,information,0.8,3.0,3.0,2.0,0.0,-1.0
1992,gemini-3-flash,grammar,0.8,3.0,3.0,3.0,0.0,0.0
1992,gpt-5-mini,grammar,0.8,2.0,2.0,2.0,0.0,0.0
2088,gemini-3-flash,lexical,0.2,4.0,7.0,7.0,3.0,3.0
2088,gpt-5-mini,lexical,0.2,8.0,8.0,8.0,0.0,0.0
2164,gemini-3-flash,grammar,0.2,7.0,7.0,7.0,0.0,0.0
2164,gpt-5-mini,grammar,0.2,6.0,6.0,6.0,0.0,0.0
2213,gemini-3-flash,lexical,0.4,6.0,6.0,6.0,0.0,0.0
2213,gpt-5-mini,lexical,0.4,6.0,6.0,6.0,0.0,0.0
2260,gemini-3-flash,information,0.6,3.0,3.0,3.0,0.0,0.0
2260,gpt-5-mini,information,0.6,3.0,3.0,3.0,0.0,0.0
2354,gemini-3-flash,grammar,0.8,3.0,3.0,3.0,0.0,0.0
2354,gpt-5-mini,grammar,0.8,2.0,2.0,2.0,0.0,0.0
2465,gemini-3-flash,grammar,0.2,4.0,5.0,4.0,1.0,0.0
2465,gpt-5-mini,grammar,0.2,3.0,3.0,3.0,0.0,0.0
2554,gemini-3-flash,information,0.2,4.0,5.0,4.0,1.0,0.0
2554,gpt-5-mini,information,0.2,6.0,6.0,6.0,0.0,0.0
2620,gemini-3-flash,information,0.6,4.0,4.0,4.0,0.0,0.0
2620,gpt-5-mini,information,0.6,4.0,3.0,3.0,-1.0,-1.0
2683,gemini-3-flash,information,0.8,4.0,4.0,4.0,0.0,0.0
2683,gpt-5-mini,information,0.8,3.0,3.0,3.0,0.0,0.0
2724,gemini-3-flash,coherence,0.6,4.0,4.0,4.0,0.0,0.0
2724,gpt-5-mini,coherence,0.6,8.0,8.0,8.0,0.0,0.0
2847,gemini-3-flash,coherence,0.8,4.0,4.0,4.0,0.0,0.0
2847,gpt-5-mini,coherence,0.8,8.0,8.0,8.0,0.0,0.0
2859,gemini-3-flash,information,0.6,4.0,4.0,4.0,0.0,0.0
2859,gpt-5-mini,information,0.6,5.0,4.0,4.0,-1.0,-1.0
2870,gemini-3-flash,lexical,0.2,7.0,7.0,8.0,0.0,1.0
2870,gpt-5-mini,lexical,0.2,8.0,7.0,7.0,-1.0,-1.0
2944,gemini-3-flash,grammar,0.2,7.0,6.0,6.0,-1.0,-1.0
2944,gpt-5-mini,grammar,0.2,4.0,4.0,4.0,0.0,0.0
3001,gemini-3-flash,grammar,0.0,8.0,9.0,9.0,1.0,1.0
3001,gpt-5-mini,grammar,0.0,8.0,8.0,8.0,0.0,0.0
3011,gemini-3-flash,grammar,0.6,3.0,3.0,3.0,0.0,0.0
3011,gpt-5-mini,grammar,0.6,2.0,2.0,2.0,0.0,0.0
3085,gemini-3-flash,coherence,0.6,4.0,4.0,4.0,0.0,0.0
3085,gpt-5-mini,coherence,0.6,8.0,7.0,8.0,-1.0,0.0
3087,gemini-3-flash,coherence,0.8,4.0,4.0,4.0,0.0,0.0
3087,gpt-5-mini,coherence,0.8,8.0,7.0,8.0,-1.0,0.0
3125,gemini-3-flash,grammar,0.2,7.0,7.0,7.0,0.0,0.0
3125,gpt-5-mini,grammar,0.2,6.0,6.0,6.0,0.0,0.0
3260,gemini-3-flash,coherence,0.2,8.0,8.0,8.0,0.0,0.0
3260,gpt-5-mini,coherence,0.2,8.0,8.0,8.0,0.0,0.0
3441,gemini-3-flash,coherence,0.4,3.0,6.0,6.0,3.0,3.0
3441,gpt-5-mini,coherence,0.4,7.0,7.0,7.0,0.0,0.0
3464,gemini-3-flash,information,0.8,3.0,3.0,4.0,0.0,1.0
3464,gpt-5-mini,information,0.8,3.0,3.0,3.0,0.0,0.0
3653,gemini-3-flash,lexical,0.4,4.0,5.0,4.0,1.0,0.0
3653,gpt-5-mini,lexical,0.4,8.0,8.0,8.0,0.0,0.0
3692,gemini-3-flash,information,0.0,8.0,9.0,9.0,1.0,1.0
3692,gpt-5-mini,information,0.0,8.0,9.0,9.0,1.0,1.0
3698,gemini-3-flash,information,0.4,6.0,5.0,5.0,-1.0,-1.0
3698,gpt-5-mini,information,0.4,8.0,6.0,6.0,-2.0,-2.0
3706,gemini-3-flash,lexical,0.0,8.0,9.0,9.0,1.0,1.0
3706,gpt-5-mini,lexical,0.0,8.0,9.0,9.0,1.0,1.0
3753,gemini-3-flash,information,0.2,8.0,8.0,8.0,0.0,0.0
3753,gpt-5-mini,information,0.2,9.0,9.0,9.0,0.0,0.0
3780,gemini-3-flash,grammar,0.0,8.0,9.0,9.0,1.0,1.0
3780,gpt-5-mini,grammar,0.0,8.0,9.0,9.0,1.0,1.0
3834,gemini-3-flash,lexical,0.6,4.0,6.0,6.0,2.0,2.0
3834,gpt-5-mini,lexical,0.6,8.0,7.0,7.0,-1.0,-1.0
3946,gemini-3-flash,lexical,0.0,9.0,10.0,9.0,1.0,0.0
3946,gpt-5-mini,lexical,0.0,9.0,9.0,9.0,0.0,0.0
3971,gemini-3-flash,grammar,0.6,3.0,4.0,3.0,1.0,0.0
3971,gpt-5-mini,grammar,0.6,3.0,2.0,2.0,-1.0,-1.0
4071,gemini-3-flash,lexical,0.4,5.0,6.0,6.0,1.0,1.0
4071,gpt-5-mini,lexical,0.4,6.0,5.0,6.0,-1.0,0.0
4081,gpt-5-mini,grammar,0.0,8.0,9.0,9.0,1.0,1.0
4147,gemini-3-flash,grammar,0.4,4.0,4.0,4.0,0.0,0.0
4147,gpt-5-mini,grammar,0.4,4.0,4.0,3.0,0.0,-1.0
4151,gemini-3-flash,grammar,0.6,4.0,4.0,4.0,0.0,0.0
4151,gpt-5-mini,grammar,0.6,3.0,3.0,3.0,0.0,0.0
4191,gemini-3-flash,lexical,0.4,8.0,7.0,8.0,-1.0,0.0
4191,gpt-5-mini,lexical,0.4,8.0,8.0,8.0,0.0,0.0
4204,gemini-3-flash,grammar,0.2,6.0,6.0,6.0,0.0,0.0
4204,gpt-5-mini,grammar,0.2,5.0,5.0,4.0,0.0,-1.0
4220,gemini-3-flash,coherence,0.2,7.0,8.0,7.0,1.0,0.0
4220,gpt-5-mini,coherence,0.2,8.0,8.0,8.0,0.0,0.0
4303,gemini-3-flash,information,0.8,2.0,3.0,3.0,1.0,1.0
4303,gpt-5-mini,information,0.8,3.0,3.0,3.0,0.0,0.0
4325,gemini-3-flash,grammar,0.2,4.0,4.0,4.0,0.0,0.0
4325,gpt-5-mini,grammar,0.2,3.0,3.0,3.0,0.0,0.0
4353,gemini-3-flash,information,0.2,7.0,8.0,8.0,1.0,1.0
4353,gpt-5-mini,information,0.2,7.0,7.0,8.0,0.0,1.0
4446,gemini-3-flash,grammar,0.4,4.0,4.0,4.0,0.0,0.0
4446,gpt-5-mini,grammar,0.4,3.0,3.0,3.0,0.0,0.0
4480,gemini-3-flash,information,0.6,4.0,4.0,5.0,0.0,1.0
4480,gpt-5-mini,information,0.6,5.0,4.0,4.0,-1.0,-1.0
4490,gemini-3-flash,lexical,0.2,8.0,8.0,8.0,0.0,0.0
4490,gpt-5-mini,lexical,0.2,8.0,8.0,8.0,0.0,0.0
4587,gemini-3-flash,coherence,0.8,4.0,6.0,4.0,2.0,0.0
4587,gpt-5-mini,coherence,0.8,8.0,7.0,7.0,-1.0,-1.0
4608,gemini-3-flash,lexical,0.2,4.0,4.0,4.0,0.0,0.0
4608,gpt-5-mini,lexical,0.2,5.0,4.0,5.0,-1.0,0.0
4667,gemini-3-flash,lexical,0.0,8.0,9.0,9.0,1.0,1.0
4667,gpt-5-mini,lexical,0.0,8.0,8.0,8.0,0.0,0.0
4680,gemini-3-flash,grammar,0.0,9.0,9.0,9.0,0.0,0.0
4680,gpt-5-mini,grammar,0.0,9.0,9.0,9.0,0.0,0.0
4707,gemini-3-flash,coherence,0.8,4.0,5.0,4.0,1.0,0.0
4707,gpt-5-mini,coherence,0.8,8.0,8.0,8.0,0.0,0.0
4764,gemini-3-flash,coherence,0.6,4.0,4.0,4.0,0.0,0.0
4764,gpt-5-mini,coherence,0.6,6.0,6.0,6.0,0.0,0.0
4956,gemini-3-flash,information,0.4,5.0,6.0,6.0,1.0,1.0
4956,gpt-5-mini,information,0.4,8.0,8.0,8.0,0.0,0.0
5138,gemini-3-flash,information,0.4,5.0,5.0,6.0,0.0,1.0
5138,gpt-5-mini,information,0.4,8.0,7.0,7.0,-1.0,-1.0
5202,gemini-3-flash,information,0.8,3.0,4.0,4.0,1.0,1.0
5202,gpt-5-mini,information,0.8,5.0,3.0,3.0,-2.0,-2.0
5209,gemini-3-flash,lexical,0.2,7.0,7.0,7.0,0.0,0.0
5209,gpt-5-mini,lexical,0.2,9.0,8.0,8.0,-1.0,-1.0
5213,gemini-3-flash,lexical,0.4,5.0,6.0,6.0,1.0,1.0
5213,gpt-5-mini,lexical,0.4,8.0,7.0,7.0,-1.0,-1.0
5225,gemini-3-flash,grammar,0.2,5.0,5.0,5.0,0.0,0.0
5225,gpt-5-mini,grammar,0.2,6.0,5.0,5.0,-1.0,-1.0
5288,gemini-3-flash,grammar,0.4,4.0,4.0,4.0,0.0,0.0
5288,gpt-5-mini,grammar,0.4,3.0,3.0,3.0,0.0,0.0
5317,gemini-3-flash,information,0.4,4.0,4.0,5.0,0.0,1.0
5317,gpt-5-mini,information,0.4,8.0,6.0,6.0,-2.0,-2.0
5467,gemini-3-flash,grammar,0.4,6.0,6.0,6.0,0.0,0.0
5467,gpt-5-mini,grammar,0.4,3.0,3.0,3.0,0.0,0.0
5487,gemini-3-flash,coherence,0.8,4.0,4.0,3.0,0.0,-1.0
5487,gpt-5-mini,coherence,0.8,9.0,8.0,8.0,-1.0,-1.0
5521,gemini-3-flash,grammar,0.0,9.0,9.0,9.0,0.0,0.0
5521,gpt-5-mini,grammar,0.0,9.0,9.0,9.0,0.0,0.0
5547,gemini-3-flash,coherence,0.8,4.0,4.0,4.0,0.0,0.0
5547,gpt-5-mini,coherence,0.8,8.0,8.0,8.0,0.0,0.0
5593,gemini-3-flash,grammar,0.8,4.0,3.0,4.0,-1.0,0.0
5593,gpt-5-mini,grammar,0.8,3.0,2.0,2.0,-1.0,-1.0
5758,gemini-3-flash,lexical,0.8,4.0,4.0,4.0,0.0,0.0
5758,gpt-5-mini,lexical,0.8,6.0,5.0,5.0,-1.0,-1.0
5792,gemini-3-flash,information,0.0,8.0,9.0,9.0,1.0,1.0
5792,gpt-5-mini,information,0.0,9.0,9.0,9.0,0.0,0.0
5851,gemini-3-flash,information,0.0,8.0,9.0,9.0,1.0,1.0
5851,gpt-5-mini,information,0.0,9.0,9.0,9.0,0.0,0.0
5852,gemini-3-flash,information,0.0,8.0,9.0,9.0,1.0,1.0
5852,gpt-5-mini,information,0.0,9.0,9.0,9.0,0.0,0.0
5936,gemini-3-flash,lexical,0.6,4.0,5.0,4.0,1.0,0.0
5936,gpt-5-mini,lexical,0.6,6.0,6.0,6.0,0.0,0.0
5940,gemini-3-flash,grammar,0.0,9.0,9.0,9.0,0.0,0.0
5940,gpt-5-mini,grammar,0.0,9.0,9.0,9.0,0.0,0.0
5948,gemini-3-flash,grammar,0.4,4.0,4.0,4.0,0.0,0.0
5948,gpt-5-mini,grammar,0.4,3.0,2.0,2.0,-1.0,-1.0
6003,gemini-3-flash,grammar,0.2,6.0,6.0,6.0,0.0,0.0
6003,gpt-5-mini,grammar,0.2,5.0,5.0,5.0,0.0,0.0
6020,gemini-3-flash,coherence,0.2,4.0,7.0,7.0,3.0,3.0
6020,gpt-5-mini,coherence,0.2,8.0,8.0,8.0,0.0,0.0
6045,gemini-3-flash,lexical,0.0,9.0,9.0,9.0,0.0,0.0
6045,gpt-5-mini,lexical,0.0,9.0,8.0,9.0,-1.0,0.0
6049,gemini-3-flash,lexical,0.2,8.0,8.0,8.0,0.0,0.0
6049,gpt-5-mini,lexical,0.2,8.0,8.0,8.0,0.0,0.0
6062,gemini-3-flash,grammar,0.0,9.0,9.0,9.0,0.0,0.0
6062,gpt-5-mini,grammar,0.0,9.0,9.0,9.0,0.0,0.0
6080,gemini-3-flash,coherence,0.2,7.0,6.0,5.0,-1.0,-2.0
6080,gpt-5-mini,coherence,0.2,9.0,9.0,9.0,0.0,0.0
6189,gemini-3-flash,grammar,0.6,3.0,3.0,3.0,0.0,0.0
6189,gpt-5-mini,grammar,0.6,2.0,2.0,2.0,0.0,0.0
6205,gemini-3-flash,coherence,0.6,4.0,4.0,4.0,0.0,0.0
6205,gpt-5-mini,coherence,0.6,8.0,8.0,8.0,0.0,0.0
6250,gemini-3-flash,grammar,0.6,4.0,4.0,4.0,0.0,0.0
6250,gpt-5-mini,grammar,0.6,3.0,2.0,2.0,-1.0,-1.0
6321,gemini-3-flash,coherence,0.4,4.0,6.0,6.0,2.0,2.0
6321,gpt-5-mini,coherence,0.4,8.0,8.0,8.0,0.0,0.0
6377,gemini-3-flash,coherence,0.0,8.0,9.0,9.0,1.0,1.0
6377,gpt-5-mini,coherence,0.0,9.0,8.0,9.0,-1.0,0.0
6395,gemini-3-flash,information,0.2,7.0,7.0,7.0,0.0,0.0
6395,gpt-5-mini,information,0.2,9.0,8.0,8.0,-1.0,-1.0
6453,gemini-3-flash,information,0.2,8.0,9.0,8.0,1.0,0.0
6453,gpt-5-mini,information,0.2,8.0,8.0,8.0,0.0,0.0
6476,gemini-3-flash,lexical,0.6,4.0,5.0,5.0,1.0,1.0
6476,gpt-5-mini,lexical,0.6,6.0,5.0,5.0,-1.0,-1.0
6517,gemini-3-flash,information,0.4,5.0,5.0,6.0,0.0,1.0
6517,gpt-5-mini,information,0.4,7.0,6.0,6.0,-1.0,-1.0
6626,gemini-3-flash,coherence,0.6,4.0,4.0,4.0,0.0,0.0
6626,gpt-5-mini,coherence,0.6,8.0,8.0,8.0,0.0,0.0
6657,gemini-3-flash,lexical,0.8,4.0,4.0,4.0,0.0,0.0
6657,gpt-5-mini,lexical,0.8,6.0,5.0,5.0,-1.0,-1.0
6787,gemini-3-flash,grammar,0.4,4.0,4.0,4.0,0.0,0.0
6787,gpt-5-mini,grammar,0.4,3.0,3.0,3.0,0.0,0.0
6791,gemini-3-flash,grammar,0.6,3.0,3.0,3.0,0.0,0.0
6791,gpt-5-mini,grammar,0.6,2.0,2.0,2.0,0.0,0.0
6794,gemini-3-flash,grammar,0.8,3.0,3.0,3.0,0.0,0.0
6794,gpt-5-mini,grammar,0.8,2.0,2.0,2.0,0.0,0.0
6821,gemini-3-flash,information,0.6,3.0,3.0,3.0,0.0,0.0
6821,gpt-5-mini,information,0.6,3.0,3.0,3.0,0.0,0.0
6824,gemini-3-flash,information,0.8,3.0,3.0,4.0,0.0,1.0
6824,gpt-5-mini,information,0.8,3.0,3.0,2.0,0.0,-1.0
6899,gemini-3-flash,lexical,0.8,4.0,6.0,6.0,2.0,2.0
6899,gpt-5-mini,lexical,0.8,8.0,6.0,7.0,-2.0,-1.0
6930,gemini-3-flash,information,0.0,9.0,9.0,9.0,0.0,0.0
6930,gpt-5-mini,information,0.0,9.0,9.0,9.0,0.0,0.0
6933,gemini-3-flash,information,0.2,8.0,8.0,8.0,0.0,0.0
6933,gpt-5-mini,information,0.2,8.0,8.0,8.0,0.0,0.0
7025,gemini-3-flash,grammar,0.2,4.0,5.0,4.0,1.0,0.0
7025,gpt-5-mini,grammar,0.2,4.0,4.0,4.0,0.0,0.0
7060,gemini-3-flash,information,0.6,3.0,4.0,4.0,1.0,1.0
7060,gpt-5-mini,information,0.6,4.0,4.0,4.0,0.0,0.0
7064,gemini-3-flash,information,0.8,2.0,3.0,3.0,1.0,1.0
7064,gpt-5-mini,information,0.8,3.0,3.0,3.0,0.0,0.0
7133,gemini-3-flash,lexical,0.4,4.0,7.0,6.0,3.0,2.0
7133,gpt-5-mini,lexical,0.4,8.0,7.0,7.0,-1.0,-1.0
7194,gemini-3-flash,lexical,0.6,4.0,4.0,5.0,0.0,1.0
7194,gpt-5-mini,lexical,0.6,6.0,5.0,5.0,-1.0,-1.0
7195,gemini-3-flash,lexical,0.6,4.0,4.0,4.0,0.0,0.0
7195,gpt-5-mini,lexical,0.6,5.0,4.0,5.0,-1.0,0.0
7230,gemini-3-flash,information,0.0,9.0,9.0,9.0,0.0,0.0
7230,gpt-5-mini,information,0.0,9.0,9.0,9.0,0.0,0.0
7244,gemini-3-flash,information,0.8,3.0,3.0,4.0,0.0,1.0
7244,gpt-5-mini,information,0.8,4.0,3.0,3.0,-1.0,-1.0
7317,gemini-3-flash,lexical,0.8,4.0,4.0,4.0,0.0,0.0
7317,gpt-5-mini,lexical,0.8,4.0,4.0,4.0,0.0,0.0
7340,gemini-3-flash,coherence,0.2,6.0,7.0,8.0,1.0,2.0
7340,gpt-5-mini,coherence,0.2,8.0,8.0,8.0,0.0,0.0
7389,gemini-3-flash,grammar,0.6,4.0,4.0,4.0,0.0,0.0
7389,gpt-5-mini,grammar,0.6,3.0,3.0,2.0,0.0,-1.0
7446,gemini-3-flash,grammar,0.4,3.0,4.0,4.0,1.0,1.0
7446,gpt-5-mini,grammar,0.4,3.0,3.0,3.0,0.0,0.0
7498,gemini-3-flash,lexical,0.8,3.0,4.0,4.0,1.0,1.0
7498,gpt-5-mini,lexical,0.8,5.0,5.0,5.0,0.0,0.0
7515,gemini-3-flash,coherence,0.0,8.0,9.0,9.0,1.0,1.0
7515,gpt-5-mini,coherence,0.0,8.0,8.0,8.0,0.0,0.0
7637,gemini-3-flash,coherence,0.0,8.0,9.0,8.0,1.0,0.0
7637,gpt-5-mini,coherence,0.0,8.0,8.0,8.0,0.0,0.0
7657,gemini-3-flash,information,0.4,5.0,4.0,5.0,-1.0,0.0
7657,gpt-5-mini,information,0.4,6.0,6.0,6.0,0.0,0.0
7695,gpt-5-mini,coherence,0.0,9.0,9.0,9.0,0.0,0.0
7720,gemini-3-flash,information,0.6,5.0,4.0,4.0,-1.0,-1.0
7720,gpt-5-mini,information,0.6,5.0,4.0,3.0,-1.0,-2.0
7780,gemini-3-flash,information,0.6,4.0,4.0,4.0,0.0,0.0
7780,gpt-5-mini,information,0.6,6.0,4.0,4.0,-2.0,-2.0
7898,gemini-3-flash,information,0.4,4.0,5.0,5.0,1.0,1.0
7898,gpt-5-mini,information,0.4,5.0,4.0,5.0,-1.0,0.0
7906,gemini-3-flash,lexical,0.0,8.0,9.0,9.0,1.0,1.0
7906,gpt-5-mini,lexical,0.0,8.0,8.0,8.0,0.0,0.0
